0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,-776
0,-513.067
0,-504.3
0,-71.5333
0,-69.8333
0,192.867
0,190.217
0,6.56667
0,-49.0667
0,-47.7667
-85,-1929.47
-83.5833,-1896.78
-82.1667,-1455.1
-80.75,-1429.23
-79.3333,-970.367
-22.9167,-951.717
-22.4167,-914.067
-21.9167,-769.733
-21.4167,-753.5
-20.9167,-282.267
-10.4167,-273.617
-10.0833,-2134.97
-14.75,-2095.15
-9.33333,-2055.33
-9,-1578.52
-8.66667,-1545.98
-8.33333,-1513.45
37,-1480.92
131.583,-688.383
129.583,-934.517
167.583,-910.217
164.917,-857.917
172.25,-736.083
169.417,-713.883
191.583,-691.683
188.333,-1111.48
185.083,-1081.92
181.833,-526.35
108.583,-505.55
81.5,-217.75
79.8333,-201.4
68.1667,-216.05
66.6667,-199.183
60.1667,-98.3167
58.75,-362.85
42.3333,-342.717
41.1667,-382.583
40,-1393.45
28.8333,-1355.12
27.8333,-1314.78
26.8333,-1239.48
25.8333,-1201.8
-15.1667,-1030.12
-15.5,-994.667
-15.8333,-1118.22
-16.1667,-1080.12
-16.5,-1034.02
-36.8333,-996.05
-36.8333,-1151.08
-36.8333,-1109.9
-46.8333,-1017.72
-86.6667,-896.317
-85.8333,-866.317
-85,-935.317
-79.1667,-907.6
-78.4167,-868.7
-77.6667,-869.45
-76.9167,-975.467
-76.1667,-932
-110.417,-718.467
-109.083,-728.783
-109.167,-719.65
-109.25,-516.517
-109.333,-503.8
-109.417,-491.083
-109.5,-493.15
-108.667,143.15
-152.833,153.5
-181.25,12.95
-179.167,27.95
-177.083,61.5333
-174.833,170.933
-172.583,160.717
-170.417,-48.5
-168.167,-55.4
-165.917,-21.0167
-163.667,-86.2
-161.417,-85.3
-158.417,45.6
-83.8333,57
-80.4167,180.967
-46.3333,198.983
-42.75,204.25
-114,245.15
-109,251.483
-53.5833,235.817
-49,235.15
-44.4167,-98.5167
-14.8333,-84.8667
-21.8333,-343.217
-19.0833,-320.583
-16.3333,-316.95
-228.75,-734.517
-222.583,-704.75
-216.5,-755.583
-205.417,-727.717
